id_usuario,tipo_viagem,periodo,meio_transporte,distancia_km,tempo_deslocamento_min,custo_viagem,satisfacao,chegada_pontual
1,Trabalho,Pico,Metro,10.4,49.9,8.14,6.9,Nao
2,Estudo,Pico,Onibus,11.7,57.1,7.08,7.1,Nao
3,Trabalho,Intermediario,Metro,11.8,36.9,10.67,7.7,Nao
4,Estudo,Intermediario,Aplicativo,9.1,30.2,16.75,5.9,Sim
5,Estudo,Noturno,Aplicativo,6.7,19.9,14.33,7.3,Sim
6,Estudo,Pico,Onibus,13.7,60.4,8.33,5.0,Nao
7,Estudo,Pico,Aplicativo,5.1,33.1,14.95,6.5,Sim
8,Estudo,Noturno,Onibus,14.5,57.1,4.77,5.6,Nao
9,Lazer,Noturno,Aplicativo,6.5,19.6,16.34,6.9,Sim
10,Lazer,Pico,Onibus,7.6,38.6,3.96,5.8,Nao
11,Estudo,Intermediario,Metro,4.4,22.3,4.17,8.0,Sim
12,Trabalho,Pico,Metro,9.9,46.0,5.58,6.6,Nao
13,Trabalho,Noturno,Metro,16.6,48.1,8.38,4.5,Nao
14,Trabalho,Pico,Onibus,14.5,52.0,6.31,7.7,Nao
15,Estudo,Noturno,Aplicativo,15.4,48.8,18.01,6.9,Nao
16,Trabalho,Intermediario,Onibus,14.5,51.0,12.93,5.5,Nao
17,Trabalho,Intermediario,Metro,7.2,23.0,6.69,8.0,Sim
18,Lazer,Pico,Onibus,9.5,51.6,7.13,5.1,Nao
19,Lazer,Intermediario,Onibus,7.5,37.1,6.68,8.0,Nao
20,Lazer,Pico,Metro,17.0,59.8,12.41,7.7,Nao
21,Trabalho,Pico,Onibus,6.8,39.0,5.41,6.8,Nao
22,Estudo,Intermediario,Onibus,15.0,51.3,6.86,6.9,Nao
23,Trabalho,Noturno,Onibus,16.2,47.0,12.69,6.1,Nao
24,Trabalho,Intermediario,Onibus,20.4,61.1,15.29,4.2,Nao
25,Trabalho,Intermediario,Aplicativo,10.4,22.2,13.81,7.0,Sim
26,Trabalho,Pico,Aplicativo,15.4,57.8,17.38,5.8,Nao
27,Trabalho,Pico,Onibus,22.5,66.9,12.07,4.9,Nao
28,Lazer,Pico,Onibus,8.2,49.4,4.26,6.1,Nao
29,Trabalho,Intermediario,Onibus,5.3,24.5,5.9,7.2,Sim
30,Estudo,Noturno,Onibus,2.5,18.7,2.17,7.6,Sim
31,Estudo,Intermediario,Metro,14.2,40.5,15.22,6.9,Nao
32,Trabalho,Pico,Metro,3.7,27.1,8.55,6.8,Sim
33,Estudo,Pico,Onibus,9.3,51.5,7.11,5.5,Nao
34,Trabalho,Intermediario,Onibus,14.2,34.2,10.94,5.6,Sim
35,Estudo,Pico,Onibus,11.8,56.5,10.02,6.5,Nao
36,Trabalho,Noturno,Aplicativo,14.1,43.1,17.72,4.6,Nao
37,Trabalho,Noturno,Aplicativo,13.2,33.3,16.81,7.7,Sim
38,Trabalho,Intermediario,Onibus,18.0,50.0,10.76,7.1,Nao
39,Estudo,Pico,Onibus,6.7,46.8,7.24,6.0,Nao
40,Lazer,Pico,Aplicativo,8.0,31.7,16.38,4.7,Sim
41,Trabalho,Pico,Aplicativo,8.7,32.2,13.26,6.7,Sim
42,Estudo,Pico,Onibus,14.7,62.5,7.51,5.6,Nao
43,Estudo,Pico,Onibus,15.1,59.4,9.15,4.9,Nao
44,Lazer,Intermediario,Onibus,13.0,39.2,8.2,6.1,Nao
45,Lazer,Intermediario,Metro,16.3,49.6,15.78,7.7,Nao
46,Estudo,Pico,Onibus,5.7,31.0,2.29,7.7,Sim
47,Estudo,Pico,Onibus,18.5,71.1,11.84,4.3,Nao
48,Lazer,Pico,Metro,17.9,66.5,15.53,4.5,Nao
49,Trabalho,Pico,Onibus,15.5,61.3,14.02,5.1,Nao
50,Trabalho,Noturno,Aplicativo,20.2,57.3,20.78,5.4,Nao
51,Trabalho,Pico,Onibus,4.7,42.6,5.6,6.9,Nao
52,Lazer,Pico,Onibus,8.6,42.8,7.51,6.0,Nao
53,Lazer,Pico,Metro,7.7,31.8,8.36,7.9,Sim
54,Trabalho,Noturno,Onibus,15.4,51.7,9.23,7.5,Nao
55,Estudo,Intermediario,Aplicativo,6.3,33.9,16.21,7.4,Sim
56,Trabalho,Pico,Metro,15.6,50.8,6.46,6.8,Nao
57,Trabalho,Intermediario,Onibus,18.4,54.5,12.14,5.6,Nao
58,Lazer,Intermediario,Metro,14.1,45.5,11.1,6.5,Nao
59,Trabalho,Noturno,Onibus,13.5,44.8,8.13,7.2,Nao
60,Trabalho,Pico,Aplicativo,7.8,31.0,20.1,6.2,Sim
61,Estudo,Noturno,Onibus,7.2,36.2,4.39,6.9,Nao
62,Estudo,Noturno,Metro,16.6,60.8,11.16,6.3,Nao
63,Trabalho,Noturno,Onibus,15.7,51.1,13.55,5.4,Nao
64,Estudo,Intermediario,Onibus,10.8,34.3,5.7,5.7,Sim
65,Estudo,Intermediario,Aplicativo,9.1,22.2,15.49,7.5,Sim
66,Trabalho,Pico,Aplicativo,3.1,26.4,13.6,7.1,Sim
67,Trabalho,Intermediario,Onibus,7.4,36.5,7.51,7.1,Nao
68,Estudo,Intermediario,Onibus,19.6,61.5,11.74,5.0,Nao
69,Trabalho,Intermediario,Aplicativo,6.4,23.7,12.79,8.3,Sim
70,Lazer,Pico,Aplicativo,11.9,42.4,16.79,5.7,Nao
71,Lazer,Intermediario,Onibus,15.5,44.2,8.26,7.7,Nao
72,Lazer,Noturno,Onibus,5.4,30.6,4.78,5.6,Sim
73,Trabalho,Pico,Onibus,13.0,57.5,9.2,6.1,Nao
74,Lazer,Noturno,Aplicativo,15.2,36.2,20.18,6.8,Nao
75,Trabalho,Intermediario,Onibus,12.3,50.2,4.48,5.6,Nao
76,Trabalho,Noturno,Onibus,25.1,74.6,15.92,5.1,Nao
77,Trabalho,Pico,Aplicativo,4.7,35.8,15.12,7.7,Nao
78,Trabalho,Pico,Onibus,17.0,55.4,12.92,3.9,Nao
79,Estudo,Noturno,Metro,10.2,27.6,9.98,8.0,Sim
80,Trabalho,Pico,Onibus,15.7,58.4,11.77,3.6,Nao
81,Trabalho,Noturno,Onibus,14.2,49.2,9.82,5.3,Nao
82,Estudo,Intermediario,Onibus,7.7,40.7,8.66,7.7,Nao
83,Trabalho,Intermediario,Metro,13.2,44.9,11.48,6.4,Nao
84,Estudo,Pico,Onibus,2.6,27.8,3.47,6.3,Sim
85,Trabalho,Intermediario,Metro,14.9,40.1,15.75,6.7,Nao
86,Lazer,Pico,Aplicativo,12.3,52.4,19.81,7.5,Nao
87,Lazer,Pico,Aplicativo,13.9,45.1,19.9,4.6,Nao
88,Estudo,Pico,Onibus,15.8,67.5,7.06,4.6,Nao
89,Trabalho,Pico,Onibus,13.9,53.5,6.18,7.2,Nao
90,Trabalho,Noturno,Onibus,12.9,51.6,8.89,7.5,Nao
91,Lazer,Noturno,Onibus,7.0,33.5,5.94,6.8,Sim
92,Trabalho,Pico,Onibus,9.0,43.0,5.32,5.5,Nao
